2014-03-05 14:18:41 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:18:41 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:18:41 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:18:43 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:23:29 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:23:29 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:23:29 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:23:30 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:39:45 Notice: Notice (8): Undefined variable: ufoot in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 139]
2014-03-05 14:39:46 Notice: Notice (8): Undefined variable: ufoot in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 139]
2014-03-05 14:39:46 Notice: Notice (8): Undefined variable: ufoot in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 139]
2014-03-05 14:39:46 Notice: Notice (8): Undefined variable: ufoot in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 139]
2014-03-05 14:39:47 Notice: Notice (8): Undefined variable: ufoot in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 139]
2014-03-05 14:40:17 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:40:17 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:40:17 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:40:17 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:42:16 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:42:16 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:42:16 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:42:16 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
